opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
-69.41472732944236,54.7195048677905,0.3225286013783552,1.524940413735062,-69.40725914210505,53.79582274137868,-69.40725914210505,54.39706274137868,-69.40725914210505,53.194582741378674,0.0592110792761593,11.510755110729725
-69.7197286419754,54.378536934666165,0.0188917116093399,1.1997790896425775,-69.69755879727747,53.78850960658244,-69.72043798364547,54.397415324479006,-69.67467961090946,53.17960388868587,0.0611640519330757,11.325494729893848
-69.99350598355456,54.3777659443037,0.0138537306471979,1.2154403820237043,-69.95609986002478,53.77813822470259,-69.99436853368249,54.39159279716767,-69.91783118636707,53.16468365223751,0.0629837895163841,11.160686151367914
-70.27863414549027,54.369509266057015,0.0031312093799622,1.2262801080345498,-70.2340664965426,53.75956088157087,-70.27886232807799,54.37263215012272,-70.18927066500719,53.14648961301902,0.0649985927637335,10.986347063679702
-70.56336140213448,54.35372783267665,7.016484689956138e-09,1.229780723563951,-70.51203313306038,53.74098353843916,-70.56336140154878,54.35372782568465,-70.46070486457201,53.12823925119367,0.0671459002037739,10.809249512428574
-70.8426524139339,54.33051969911384,0.0016587635720358,1.2276909883071427,-70.78605425718376,53.72012195773965,-70.84280556318849,54.33217137762183,-70.72930295117905,53.108072537857474,0.0693991113420111,10.632327306511126
-71.11163522854254,54.3002339378186,0.0050172163593922,1.2219240549355386,-71.0521843565183,53.69469190190457,-71.11212545158713,54.30522714734389,-70.99224326144946,53.08415665646525,0.0717237201174766,10.458608056585355
-71.40947094180237,54.257867254246825,0.0153496650267268,1.2108306342587,-71.3418378002664,53.66396537252314,-71.41120772573117,54.27311834594602,-71.27246787480162,53.05481239910026,0.074497046820821,10.262088787380156
-71.67337562292357,54.21208328547241,0.0280177516834905,1.194565330728969,-71.60261865279924,53.633117168395565,-71.67677445766367,54.23989411666832,-71.52846284793479,53.02634022012281,0.0771531889616757,10.083895856978867
-71.94573757453526,54.155580748436456,0.0503031843128295,1.1743237352125353,-71.87402683441275,53.59816427984022,-71.95215610233655,54.205472760350936,-71.79589756648893,52.9908557993295,0.0801198092545449,9.895445276104038
-72.22286809764739,54.088485430175005,0.0825926624505793,1.146931989193355,-72.14760794210505,53.561664341378666,-72.2345484639864,54.170247994548085,-72.06066742022372,52.95308068820925,0.0834073378870472,9.69846865292385
-72.49760471769834,54.01202177053167,0.1194341981823182,1.1100904534616018,-72.42755474210506,53.52167194137867,-72.51449526398639,54.13025559454808,-72.34061422022371,52.91308828820926,0.0869767459711557,9.497377912037399
-72.88553304629755,53.89136846869582,0.197363084068541,1.075674122138158,-72.73995914210505,53.47704274137868,-72.95095614459876,54.07757267155311,-72.52896213961134,52.87651281120424,0.0926234897126133,9.203324583157352
-73.06957393389605,53.82580308938834,0.1737847797002804,1.0559809407286709,-73.00077914210505,53.39010274137868,-73.09667785536854,53.99746125871415,-72.90488042884155,52.782744224043206,0.0956085276123808,9.05851416913108
-73.30599772026561,53.727991654340464,0.2371766838116925,0.9874502357136722,-73.25813144979736,53.35592120291713,-73.33626071772116,53.96322968342785,-73.18000218187355,52.74861272240641,0.0998215265920606,8.86529500802431
-73.56172660021488,53.60903170267185,0.3203092407604165,0.90273389863901,-73.52415298825889,53.32025351060945,-73.60305443534494,53.9266635961586,-73.44525154117284,52.7138434250603,0.1049179103645643,8.647299159795534
-73.81448915898925,53.47797599509928,0.4189914400765336,0.8088168462478075,-73.79017452672043,53.28458581830174,-73.86675677740487,53.8936945572571,-73.713592276036,52.67547707934639,0.1106191181329618,8.421514588571432
-74.05753800686608,53.33761729691573,0.530007139276821,0.7005028456324446,-74.04739959004127,53.25297446511225,-74.1205710698444,53.8638628675916,-73.97422811023812,52.642086062632906,0.1168799402417445,8.192855803920224
-74.3099135012529,53.17569424559489,0.6631174253059376,0.5658814811267404,-74.31469621527577,53.22407639991526,-74.37514660071224,53.835595270354894,-74.25424582983932,52.61255752947563,0.1244022241981712,7.941293221032242
