opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
2.81846,-0.6028604901426173,1.7470674901426169,0.08293250985738454,2.81846,0.22920699999999883,2.81846,1.1442069999999995,2.81846,-0.6857930000000019,-0.10257671129198011,3.8956530347394516
2.761317142857143,-0.5940842743956382,1.7525769886813523,0.09170872560436372,2.761317142857143,0.23634985714285606,2.761317142857143,1.158492714285714,2.761317142857143,-0.6857930000000019,-0.1013987710213282,3.906796288815762
2.704174285714286,-0.5856504854271112,1.7584289139985396,0.1001425145728907,2.704174285714286,0.24349271428571329,2.704174285714286,1.1727784285714284,2.704174285714286,-0.6857930000000019,-0.10016540286076443,3.917973736086762
2.647031428571429,-0.5775540871327316,1.7646182299898745,0.10823891286727028,2.647031428571429,0.2506355714285705,2.647031428571429,1.187064142857143,2.647031428571429,-0.6857930000000019,-0.09893605880975859,3.929199188724853
2.588460000000001,-0.5696002791590499,1.76380727915905,0.116192720840952,2.588460000000001,0.2542069999999992,2.588460000000001,1.1942070000000002,2.588460000000001,-0.6857930000000019,-0.09765539336658881,3.9409768701921437
2.528460000000001,-0.5618090846131876,1.7560160846131878,0.1239839153868143,2.528460000000001,0.2542069999999992,2.528460000000001,1.1942070000000002,2.528460000000001,-0.6857930000000019,-0.09632796286981392,3.953303753325867
2.469679512195123,-0.5545206458911519,1.7426300849155423,0.13127235410884996,2.469679512195123,0.2511582195121943,2.469679512195123,1.1881094390243905,2.469679512195123,-0.6857930000000019,-0.0950423008967696,3.965238842720945
2.4111429268292692,-0.5475959356580247,1.7283883015116832,0.1381970643419772,2.4111429268292692,0.24749968292682833,2.4111429268292692,1.1807923658536585,2.4111429268292692,-0.6857930000000019,-0.09376782108940962,3.97712450781684
2.3526063414634155,-0.5409988933416567,1.7144741860245836,0.14479410665834513,2.3526063414634155,0.24384114634146248,2.3526063414634155,1.1734752926829268,2.3526063414634155,-0.6857930000000019,-0.09250331214125886,3.989040250279569
2.2940697560975623,-0.5347244704275935,1.7008826899397884,0.15106852957240835,2.294069756097562,0.2401826097560965,2.294069756097562,1.166158219512195,2.2940697560975623,-0.6857930000000019,-0.0912387349747531,4.000976017666861
2.2355331707317085,-0.5287676934994837,1.687608839840947,0.15702530650051816,2.235533170731708,0.23652407317073065,2.235533170731708,1.1588411463414632,2.2355331707317085,-0.6857930000000019,-0.08997376700144334,4.012919644027255
2.176996585365855,-0.5231236667778105,1.6746477399485418,0.16266933322219135,2.1769965853658544,0.23286553658536469,2.1769965853658544,1.1515240731707312,2.176996585365855,-0.6857930000000019,-0.08872770932211896,4.0248567090873575
2.118460000000001,-0.5177875755114844,1.6619945755114838,0.16800542448851752,2.1184600000000007,0.22920699999999883,2.1184600000000007,1.1442069999999995,2.118460000000001,-0.6857930000000019,-0.08749553110648058,4.036771439440262
2.0601266666666675,-0.5127716393212691,1.6486453059879351,0.17302136067873275,2.0601266666666675,0.22504033333333207,2.0601266666666675,1.135873666666666,2.0601266666666675,-0.6857930000000019,-0.08627932662108928,4.048571045191509
2.0017933333333344,-0.5080522228229303,1.635592556156263,0.1777407771770716,2.0017933333333344,0.2208736666666654,2.001793333333334,1.1275403333333327,2.0017933333333344,-0.6857930000000019,-0.08508140784989393,4.060311362804121
1.9434600000000009,-0.5036248381821038,1.622831838182103,0.18216816181789808,1.9434600000000009,0.21670699999999865,1.9434600000000009,1.1192069999999992,1.9434600000000009,-0.6857930000000019,-0.08390247532358015,4.071970075253693
1.8851266666666675,-0.4994850960914659,1.6103587627581315,0.18630790390853597,1.8851266666666675,0.2125403333333319,1.8851266666666675,1.1108736666666656,1.8851266666666675,-0.6857930000000019,-0.08274523882325192,4.083522016073487
1.8267933333333342,-0.4956287123354257,1.598169045668758,0.19016428766457616,1.8267933333333342,0.20837366666666524,1.8267933333333344,1.1025403333333323,1.826793333333334,-0.6857930000000019,-0.08161263936954861,4.094938775399143
1.7684600000000006,-0.49205151521022283,1.5862585152102215,0.19374148478977904,1.7684600000000008,0.20420699999999847,1.768460000000001,1.0942069999999988,1.7684600000000006,-0.6857930000000019,-0.08050911294256245,4.106188268062908
1.7103954838709683,-0.48876403786627565,1.5732936185114357,0.19702896213372623,1.7103954838709685,0.19936829032257908,1.7103954838709687,1.08452958064516,1.7103954838709683,-0.6857930000000019,-0.07944047281097821,4.117132854321335
1.652330967741936,-0.4857453119304848,1.5605974732208059,0.20004768806951706,1.652330967741936,0.19452958064515957,1.6523309677419362,1.074852161290321,1.652330967741936,-0.6857930000000019,-0.07840713275563076,4.127834756917779
1.5942664516129037,-0.4829916253895039,1.5481663673249861,0.20280137461049796,1.5942664516129037,0.18969087096774018,1.594266451612904,1.0651747419354822,1.5942664516129037,-0.6857930000000019,-0.07741294356767006,4.138247853600509
1.5362019354838714,-0.4804994159538043,1.5359967385344477,0.20529358404619757,1.5362019354838714,0.18485216129032078,1.5362019354838714,1.0554973225806434,1.5362019354838714,-0.6857930000000019,-0.0764625750290085,4.14831961204034
1.478137419354839,-0.47826528432109905,1.5240851875469037,0.20752771567890282,1.478137419354839,0.1800134516129014,1.478137419354839,1.0458199032258046,1.478137419354839,-0.6857930000000019,-0.07556041075076199,4.157990150032244
1.4203830769230772,-0.4762959028888877,1.5108875182735009,0.2094970971111142,1.4203830769230772,0.17439930769230572,1.4203830769230772,1.0345916153846133,1.4203830769230772,-0.6857930000000019,-0.07471526465633525,4.167074600603754
